,bron_naam,type_bron,MWcapaciteit,capfactor,volfactor,status,Brontemperatuur,Uitkoppel_min,Uitkoppel_max,Productiekosten,targetGMC,xcor,ycor
409,Promelca BV Gorinchem,Industrie,3.22,,,Optie B,80.0,200.0,200.0,2.0,,0.42281226807649436,0.392001573554428
410,Prysmian Cables and Systems NV,Industrie,0.24,,,Optie B,80.0,200.0,200.0,2.0,,0.2691477375540588,0.4548347135018004
411,PURAC Biochem BV,Industrie,2.25,,,Optie B,80.0,200.0,200.0,2.0,,0.4316746036239516,0.39760873040012523
412,Quaker Chemical BV,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3921934692966526,0.5425702264991812
413,Rademakers Gieterij BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9423809529617589,0.7226589110727525
414,Recticel  BV Kesteren,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5888384254355119,0.43009725682960653
415,Recycling Kombinatie Bouw- en Sloopafval Rotterdam 1,AVI,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.26026638411916064,0.4156637754432705
416,Recycling Kombinatie Bouw- en Sloopafval Rotterdam 2,AVI,1.76,,,Optie B,80.0,500.0,500.0,2.0,,0.2582695059378666,0.4168049967777477
417,Refresco Benelux BV,Industrie,0.45,,,Optie B,80.0,200.0,200.0,2.0,,0.3691057539434055,0.4815511667077697
418,Remia CV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4975525657192136,0.5061896735532748
419,Rendac Son BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5519437238001746,0.27309686515008286
420,Reststoffen Energie Centrale REC,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5469990730655419,0.8916981983327438
421,Rijksinstituut voor Volksgezondheid en Milieu RIVM,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.48458236648452285,0.4982077208670469
422,Rijnmond Energie,STEG,9.34,,,Optie B,80.0,220.25454545454545,250.0,2.0090909090909093,,0.26524907062867525,0.4164058991434363
423,Rixona BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8244966758706243,0.9685921086525912
424,RMD BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9390870548569958,0.9378450991728323
425,Rockwool BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7109903164683836,0.15112801044594198
