gemeente,Age0to9,Age10to19,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90to99,Age100plus
De Fryske Marren,1204.465460186146,1544.8252396166113,1564.1136876763867,1560.881196013287,1713.8877628635323,1778.4624325296902,1913.7957312806159,1952.913636363638,2734.2217317487252,2494.2161167512677,2792.0457652867403
De Ronde Venen,986.9456310679619,1278.2996485061524,1230.8244423350657,1288.20546139358,1625.6860410557042,1603.496642929807,1637.733638025583,1861.891798107255,2113.564957264958,2163.676149425288,2264.698662551444
De Wolden,1186.396099290782,1495.2307898259683,1604.2637162162148,1700.420425208809,1918.8694885361565,1871.0656202143996,2114.1120448179263,2321.644402985074,2663.6706161137445,2726.359603960396,3099.7137315748655
Delft,696.903812316725,865.7868378290475,996.0113731269943,910.7818829707529,1001.11711529484,1120.3220752498682,1105.5115239477443,1223.0551643192462,1375.8412523900488,1361.99089857308,1470.254689471466
Delfzijl,1378.5812865497064,1230.8375394321774,1340.6596571428659,1362.995121951221,1522.7000620732324,1616.5957530864127,1698.0183460076066,2265.12800925926,2144.4780442804413,2564.1313229571997,3085.5351638618267
Den Helder,889.9639157155427,1044.2470697674403,1336.298465753425,1113.06739244491,1304.4417214331158,1395.8012525326574,1334.1276679841922,1446.332816537467,1525.5686266274681,1471.4523341523359,1413.2319018404894
Deurne,1139.678058645096,1437.414150943395,1568.8918131868136,1627.3856623586519,1861.4072150575012,2099.6992672203214,2379.0626016260153,2675.468894601543,2765.6072992700733,3117.150549450549,2992.912465373961
Deventer,971.6033750869891,1112.8563604919332,1233.0110085584888,1251.540730237487,1471.6432456334494,1334.1322549952386,1385.426755392386,1452.5261806130907,1599.4506088825187,1636.223097112862,1670.9810384959785
Diemen,670.1602409638558,660.5363324764355,989.0633272058808,957.6766345666549,1176.529865771815,1087.363317274585,1258.5042682926792,1395.4091666666666,1469.7275510204076,1330.3255319148936,1668.025
Dinkelland,1421.3369863013697,1491.9965263157947,1650.9794059405936,1700.1835946924025,1870.0822935779877,1963.7419469026536,1877.7955456570153,2035.0853503184715,2224.964350453172,2289.0132596685085,2389.4631578947383
Doesburg,985.227016129032,806.3800458715598,1343.359340659345,1271.4736781609208,1440.7344242424242,1433.0850855745714,1488.1524705882305,1437.9588607594937,1893.6469387755105,1871.2749999999996,2100.8254601227004
Doetinchem,1007.1818495117735,1135.9060301507484,1215.6988016629941,1284.222603579305,1458.4074762578314,1381.3408265847638,1585.2988286969264,1710.802631578944,2154.086683630194,2112.9612217795516,2281.9077380952376
Dongen,1092.8690058479526,1131.490714948932,1435.6010366275061,1335.072019765291,1622.0737908226558,1520.925626204238,1875.7426395939103,1789.4414728682168,2278.456657963447,2240.0865497076024,3622.9700000000007
Dordrecht,832.5455732946278,1063.6093000648111,1098.1286339754652,1050.885922396187,1149.466533066146,1213.2776673640203,1146.2732640053682,1438.3597839135575,1448.906267217631,1501.4890118577107,1578.0345834103064
Drechterland,1136.0016427104733,1202.8263719512174,1423.2921996879904,1433.3182857142842,1627.0907431551489,1753.8705152671764,1987.6161392405058,2211.8569536423843,2188.850450450451,2177.887878787878,2577.7450743494437
Drimmelen,1090.0269999999982,1254.095800524932,1408.2072427983558,1472.5012658227888,1604.8995460173403,1663.1836803874055,1829.7292759706186,1999.5687960687967,2114.2502590673575,2096.2660592255147,2236.9440356744735
Dronten,1080.0475308641974,1168.9435677530114,1600.7190443529964,1494.3647778943607,1500.8572285143136,1763.5229927007442,2331.5027777777777,2331.5027777777777,2331.5027777777777,2331.5027777777777,2331.5027777777777
Druten,1013.581345177665,1225.136585365855,1519.563349514561,1491.4449409780796,1518.3818991097935,1713.3095890410984,1876.3453093812375,1826.7806666666665,2134.3865168539323,2500.437606837606,2526.6949549549518
Duiven,1111.9772594752185,1210.2947619047616,1301.7402770517579,1278.2793564714366,1476.3355115511501,1649.7623595505681,2035.8308157099705,2322.0087912087915,2890.397333333334,3101.942857142857,3151.193103448275
Echt-Susteren,1382.2364583333322,1390.301047542302,1539.838778513616,1518.0472278225736,1819.7381621621657,1803.1519726858855,1981.740793976729,2045.0402321083182,2554.35517928287,2376.6188888888887,2664.0161290322535
Edam-Volendam,1046.2075438596473,1180.3398685651705,1278.0438235294064,1408.901340206182,1487.9091785936541,1488.0049351944167,1574.612553740328,1553.5476363636349,1499.9883333333328,1583.1953623188397,2009.663687676387
Ede,953.6686178577671,1110.3790578999037,1141.620563928039,1270.9623149221006,1501.5610594658467,1478.5183865494394,1590.2304473902293,1793.3976758793963,2151.005098684209,2119.3671513193312,2236.4713130055984
Eemnes,1048.7337765957438,1257.4447278911578,1450.0908959537587,1251.2207100591668,1563.2495503597167,1581.234793814433,1591.5114583333332,4109.322222222222,2454.9083333333338,1713.3272727272727,2461.030188679246
Eersel,1135.8740294511365,1269.2103321033198,1612.8475308642028,1542.8030893216965,1957.7054709531822,2294.6572192513345,2439.218968386021,2432.3353741496594,2433.9712765957447,2846.1779661016944,2721.2060000000006
Eijsden-Margraten,1174.947855530474,1390.308188976378,1655.5923835125418,1561.3082450832105,2045.6688176895357,2084.7565145684425,2047.463274853801,2190.1270833333338,2543.5990476190477,2511.8958904109604,2527.3957219251324
Eindhoven,733.8754723162564,1031.127507744923,1267.2054848099076,1255.6106694099506,1392.9525636652718,1402.2680440471256,1371.6427280197477,1392.012487591831,1711.072116149566,1644.5603589305267,1660.248393642204
Elburg,1068.2627245508972,1170.6150525087503,1395.6029347826095,1299.8651414309522,1745.7727971614477,1587.712307692315,1688.2109189189216,1958.9543778801851,2247.39822485207,1959.5022556390982,1871.9762295081978
Emmen,993.1618404118398,1418.1500789177007,1420.1786964129483,1370.8039746066697,1466.1354611923832,1439.4792287581872,1614.5657655611017,1858.4551045510484,2100.3415691374107,2263.6059238363905,2396.285903307886
Enkhuizen,979.6585308056852,984.0402121504344,1244.6893557422984,1196.6683530678142,1389.0355079681235,1297.316726403823,1528.052777777779,1260.9949640287764,1659.494976076555,1669.9681514476601,1690.2556451612936
Enschede,988.8679282310075,1052.7584122175988,1181.212451995802,1164.5941494538786,1281.4362198318852,1315.5937943421739,1292.3680106504294,1523.7670048309237,1750.742166140903,1642.5221132897666,1703.0999550864567
Epe,969.9024999999988,1612.6559006211166,1441.7668407310732,1575.1607052896659,1920.1583176868098,1692.730283458918,2255.0930144267177,2890.786933333333,2979.748933500626,2980.889044943818,3885.8532550693694
Ermelo,992.9125153374234,1171.0189748201437,1239.424061810159,1332.864206642072,1570.6715756136302,1611.6863991081398,1740.2531392174724,2013.8757961783442,2210.2494656488534,2170.1343347639477,2339.403284671533
Etten-Leur,981.9272850372398,1133.1738805970133,1345.2172914850337,1246.6322331460667,1485.7760853747338,1548.826276150624,1696.9713801862804,2116.986062717771,2358.6990566037757,2309.414492753623,2580.5595667870043
Geertruidenberg,929.705194805195,1050.0901554404147,1270.906625258798,1235.415623171446,1530.4558321132251,1441.5082758620663,1515.2173469387749,1735.9906976744182,1859.3739910313914,1989.6162393162388,2317.1569288389487
Geldrop-Mierlo,1163.0456310679604,1154.9606831395345,1465.593802197795,1393.8704757858918,1551.3842180094937,1641.5411336032405,1740.959614354583,1749.3131578947364,2248.3405555555555,2239.2686046511612,2747.1319587628864
Gemert-Bakel,1122.373637176049,1407.3822018348662,1678.57961826857,1572.5022815534023,1818.357142857143,2142.0480164158744,2016.67560728745,2062.748172757475,2558.160759493671,2802.761849710981,2939.0327777777775
Gennep,1047.0115183246069,1298.8716049382713,1585.5984126984115,1500.7982630272973,1845.547759000734,1859.0193839218632,2143.7620895522373,2137.9973293768535,2432.69603960396,2334.636029411765,2538.9008310249296
