gemeente,Age0to9,Age10to19,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90to99,Age100plus
Heusden,3288.622969830732,3234.552724732428,3329.640935367284,3202.0941170299416,3456.5406178229714,3249.1735193120644,3290.711057239054,3456.428250580045,3968.301836,3880.677349514553,4096.540437198047
Hillegom,2792.5000767017873,2980.588518518511,2950.6098096827727,2676.8609363344062,2992.1412065217028,2825.829593772104,2799.267337474113,2956.756661654137,3077.481955555552,3121.3062682352884,2963.982189035917
Hilvarenbeek,3365.727205128208,3495.5622442244326,3654.7479168674436,3454.6877342105104,3777.7626656025286,3611.4952851523894,4013.5840139211223,3975.521196261676,4262.035935483863,3983.5447500000014,3986.573507407398
Hilversum,2603.076923577989,2875.294261470436,2515.396260944201,2202.600147648714,2702.961773760868,2498.6800698860043,2473.1604915253174,2695.868234194126,3001.579674643777,2938.0747278617077,2888.9848048528565
Hoeksche Waard,3102.554999236665,3183.728440306993,3226.1258453608352,3008.177023749113,3091.7392082197293,3069.501914238697,2980.6824132083348,3068.1571644444543,3434.445563314685,3537.0062481848026,3533.7443030888253
Hof van Twente,3459.4765428176665,3481.8462865928554,3532.781190675415,3372.312576923067,3426.890078955592,3413.888680018841,3497.5185109090867,3710.452486988848,3743.5274285714213,3721.521940387469,4168.999586292345
Hollands Kroon,3277.409335353522,3435.440422960733,3339.632179945946,2988.7372738730082,3176.108354403998,3105.901653956522,3295.9986766981942,3299.689579470181,3737.105097656245,3541.8553503243697,3832.2184452296947
Hoogeveen,2893.9284924946337,3395.9884600465507,3239.612446894427,3123.2929752784803,3213.3113557074303,2828.190966332813,2969.1689162666635,3218.635257901396,3509.095456473204,3612.4140468227424,3812.531519582246
Hoorn,3076.315752756831,3162.8622666666956,3020.6891742023527,2827.728224043021,2954.2529038979856,2878.154955816567,2708.326193396225,2793.2238461538423,3058.3288386075897,2935.9411411564556,2739.085926236757
Horst aan de Maas,3289.297408563769,3671.815419206437,3609.731222118958,3243.4226661398743,3539.1072099666467,3419.6532546235494,3677.845866340083,3816.7416369168386,4163.56624539877,4251.168499999992,4193.138410878665
Houten,2923.109577831647,3346.011958070843,3170.178823131049,2978.501785435003,3305.4070721908265,3585.3984171974535,3592.905972222222,3900.737863636364,3787.690959595959,4122.102850746269,4197.593365714288
Huizen,2572.2156244635275,2795.6621345840035,3210.2162950591487,2616.109742465442,2899.327022367729,3075.7439104106224,3139.373601613716,2838.174254901962,3344.5938602150504,3365.726066066059,3303.9266315789437
Hulst,3144.089361997212,3668.358162206013,3515.9885411411738,3210.2975560936097,3244.2766163417973,3096.283029633612,3090.7215936151747,3310.8689132947948,3490.677883895114,3474.5574765291467,3492.43340930508
IJsselstein,2974.1483179650327,3438.9726739278794,3155.5246579294458,2983.150074818285,2902.5132470492304,2605.3225645400234,2724.46424600248,3042.0151728395076,3863.605161290322,3313.745098039215,3023.1317018121936
Kaag en Braassem,2999.854551037317,3389.1258619556106,3287.9318809523534,3048.430277777837,3175.7845840509676,3214.9286276470734,3178.8405307068388,3078.3315969581763,3600.5050864864857,3623.4365081967167,3829.939206319696
Kampen,3247.6548268615775,3699.9745939753984,3371.2908109076334,3111.7997904057265,3390.4369162011717,2885.224000000092,3254.497097622039,3171.2500463917468,3339.0231642728954,3093.8428235294095,2769.9750811025406
Kapelle,3216.9131999999954,3764.0949151414297,3513.986353025928,3342.662906249995,3231.5363925133715,3150.2403636363533,3337.5512534435215,3259.465900497513,3439.808788381741,3523.741356275302,3578.3759729729554
Katwijk,2975.7819429778365,2990.6201668092604,2994.442436193244,2924.441506595671,3052.637098438755,2620.7426783042442,2783.6563983544847,3027.8210592502996,3219.357139146567,3228.1548682464454,3237.28842126299
Kerkrade,2620.2669917127037,2951.2134915825263,2821.464945692907,2653.372613279117,2852.923741083284,2687.23241241164,2768.742528029527,3082.8510024711486,3468.671334179349,3241.5056365865453,3237.507111044041
Koggenland,3513.359220211162,3409.6007130177436,3269.813962369334,3139.1983455031127,3368.3540284439478,3242.3952746987975,3691.122536363633,3524.6692093023253,3977.733000000002,3784.8814472843424,4029.2307870679906
Krimpen aan den IJssel,2586.0796992385963,3153.4617711357782,3049.6484153256647,2840.4530498533454,3230.0644883801538,2935.522001149772,2686.943549138826,2754.9158787878855,3187.907354838705,3224.24475770925,3598.542654708518
Krimpenerwaard,3165.4023908496742,3294.8331146268456,3166.913719663179,2980.528613285861,3100.7178805505687,3114.8311028920807,2920.9056191588743,3124.429310559017,3501.9008216216084,3602.188826800359,3575.4213802928566
Laarbeek,3211.701717149188,3539.718352380923,3491.446066733033,3304.198104806375,3465.20892880414,3373.8744865649746,3398.468631917622,3323.2017544642868,3851.298459259261,3804.055433333336,3794.041630281687
Landerd,3539.3280761904643,3743.9833146622664,3753.009446453396,3404.15180487804,3484.7555837104064,3634.763618838969,3913.6003686635877,3812.1540324324233,4361.330222222225,4383.234965853657,4289.711999999989
Landgraaf,2744.4719891540076,2943.4290926216995,3094.550028295829,2884.887636506686,3064.4025013936703,3065.5864785400813,2995.5659139931845,3069.8954899425207,3250.657796428555,3412.6479081885805,3353.014731947478
Landsmeer,3154.307846153836,3219.088950495049,3186.6544513274303,3000.90586994533,3203.8624906249825,3069.1101599525805,2881.4552990127027,3397.164374999999,3821.61385483871,3688.447964285716,3661.410749999996
Langedijk,3052.6107480915935,3310.6922746858177,3402.640691107654,3455.5796601671104,3349.668078133193,3214.9065189743474,3170.8255387931063,3438.351078947368,3610.2625859375007,3555.4402624113395,3775.8910850202224
Lansingerland,3281.394886980961,3382.8164005135814,3350.3080666029928,3271.8174732980074,3314.4110416666754,3289.021090069324,3214.5695908183657,3349.912328859062,3347.1027806451557,3371.0338685566935,3561.023798185939
Laren,3108.014634920636,3594.9268045976924,3355.2524539007077,2762.9557946210275,3301.3036646706696,3211.896165837463,3056.989486182195,3347.304334975372,3470.9265669782,3520.3832110726626,3535.7597886393655
Leeuwarden,2988.4690038965123,3364.0951141033356,3245.4119159112333,2627.719890036001,2786.4952973152376,2354.498599664877,2298.1855026658864,2548.830221556892,2661.3482323664266,2641.046101481058,2716.444971539062
Leiden,2139.1083292661538,2788.552411790016,2554.700862645801,2460.9149813098,2554.731703434358,2251.6263134106407,2257.494454340465,2403.322055803554,2585.2222916666665,2471.2833128384877,2319.939731446732
Leiderdorp,2861.5225524296734,3015.466799435022,2790.9502809798028,2892.5282073477188,2728.860855393159,2600.42905547754,2851.167120911809,3106.768670886077,3135.2719714964414,3330.530607476636,3446.5038743169393
Leidschendam-Voorburg,2817.659584650105,2857.363862050457,2702.7214984187244,2614.2225573363235,2709.814736486454,2330.5470955893556,2283.582418674176,2665.429028105159,2728.3386739668413,2831.6625695967136,3117.2654857336865
Lelystad,3266.6615717505665,3430.633310713499,3706.2627110081944,2808.3957683471244,3086.527210585124,3017.3657418351318,3386.209428571428,3386.209428571428,3386.209428571428,3386.209428571428,3386.209428571428
Leudal,3466.0698048245486,3527.1163677510335,3474.739328659554,3096.1918289930445,3545.4477931218103,3471.5997130081437,3531.229519713238,3414.307958128071,4038.3720833333323,3980.973299798788,3870.493952215446
Leusden,3173.746299654572,3424.6561251549024,2939.5949922178643,2948.4353159212537,3085.42602054379,3313.4366703911046,3467.3087117904006,3827.9979655172447,3971.4754071428597,3960.2824157303367,4112.460882075467
Lingewaard,3207.565375879397,3239.8487234965937,3346.2334933775096,3129.533587594023,3224.238311751714,3230.9250751468107,3370.401083453226,3610.7740883590445,3861.364337988819,3950.120068027203,4071.758325323478
Lisse,2667.4987309782523,2841.9821386946437,3121.121713503644,2981.707754868256,2868.9296229235756,2867.3212581521934,2881.100569688771,2674.853874251489,2989.8454850746302,3034.693188755016,3121.265033057853
Lochem,3325.578859016392,3347.0473394437636,3240.1928340108393,3108.368866545901,3303.308068112803,3142.572436235637,3350.098817817791,3643.209126984125,3680.836860879882,3821.9239785552863,3901.7141781798605
Loon op Zand,3030.6110659509,2936.695709057626,3366.612637465042,3137.0621560353184,3321.8494903669784,3250.8737608232727,3359.584210678208,2914.0351477987406,3536.523869444441,3550.6794026845632,3756.0990074626825
Lopik,3356.5406376146793,3466.7268906560666,3399.7249608323114,3329.8163457526034,3481.5519830508374,3267.038265469061,3349.9870206718347,3483.8991916666682,3969.67607936508,3784.6914186991817,4029.4597666666687
Loppersum,3063.978043668123,3934.210699115046,3094.1129999999907,3115.8264983164977,2933.1666499356365,3087.563873417716,3278.4404548494977,3377.388956249997,3758.630454873643,3721.142733509224,3954.166648927723
Losser,3537.3590549450487,3586.760457627127,3705.82919920314,3426.8778759811294,3521.049902594485,3323.8706890431868,3357.310219999992,3216.4158993902397,3572.565887905597,3562.8126717948708,3808.267666666675
Maasdriel,3439.4597560679535,3444.982280092596,3569.1873685329115,3390.208342524499,3552.001149877146,3312.836909018978,3576.8064891540034,3697.556312410839,3938.7828444444367,3908.663405405403,3990.255721428569
Maasgouw,3272.719803680979,3306.6261863013715,3426.883387304486,3103.889537836133,3585.5850767544334,3395.7592374749665,3372.159529059818,3551.993653594768,3992.1707424242386,4140.102015151509,3889.5175249722715
Maassluis,2959.587098075141,2773.371502338002,2878.5854016620533,2769.6370952673824,2824.771375556779,2474.2839029434895,2214.4230327868927,2872.13243925234,3036.526022988504,2770.264926829257,2840.5034829721217
Maastricht,2774.5037049180323,2770.904979052083,2725.0885028212288,2459.9655836443712,2737.9381370846186,2654.8910277746063,2539.729472306721,2578.451174379223,2762.2902098856666,2621.2788464888595,2376.3696105622535
Medemblik,3438.510431372555,3336.897108716955,3277.1428656519856,3039.1790800372355,3226.988689981136,3159.0970126195193,3343.804690721642,3424.8471091445404,3708.478327628358,3595.370189157993,3835.587488469607
Meerssen,3553.2741874999983,3366.9941993127172,3312.6609948096907,3103.400261106058,3432.1025911214756,3382.4412828334657,3304.445075381653,3410.1015191489346,3525.1731619256,3418.8332976501297,3348.2061010498724
Meierijstad,3252.958007941997,3477.734954770902,3460.5698242105204,3295.7269430726515,3431.1176316728815,3302.5534276466283,3302.4761304012154,3589.259371621643,3850.009230000003,3913.363236842102,3936.4675879774413
Meppel,2885.806200610241,3325.7696562130272,3168.074935172996,2765.1371415549443,3143.32554399061,2619.1964266080604,2529.049723052728,2707.1247002652403,2836.4255553213916,3115.7978888889,2969.865672829579
Middelburg,2906.389476635509,3075.9496365688337,3030.6529189074,2690.7040193873536,2879.767212511477,2771.743991723148,2700.909624416811,2588.091266595293,2946.4298438566557,2891.918969426743,2769.8678418774666
Midden-Delfland,3349.3768269720154,3352.352215976339,3114.7468229665224,3068.1378910133894,3220.0659700815927,3367.550075535505,3177.165944897967,3320.774912280704,3482.460831250001,3517.609939698485,3663.945181003587
Midden-Drenthe,3452.400259541975,3642.776010631225,3415.76054795969,3195.59317904573,3335.4828437779797,3087.450834340398,3318.498551360837,3435.0230193861057,3897.097911894252,3942.337279699228,4016.4563705533396
Midden-Groningen,3198.811167146955,3233.50988755668,3233.8921914467096,2981.1666765699056,3042.0968582924497,2769.5411576390056,2788.954508440882,3320.6431420345325,3435.5707900581983,3591.9617397421416,3911.657654625879
Mill en Sint Hubert,3202.6433333333252,3622.4488729096956,3660.5857078651798,3310.8584448924703,3634.464922368398,3561.2378173803363,3634.1160590909167,3651.062954703824,4050.0751490683233,4015.4249854014615,4037.337247311826
Moerdijk,3155.03807183907,3330.5108736841867,3361.7928758465,3091.487610649716,3192.8238357025793,3074.846065331382,3202.7905940199116,3260.510306586839,3577.869522267204,3600.2529185750545,3714.885666949153
Molenlanden,3403.2999630709214,3444.017662775601,3718.0109280821835,3345.145619609436,3512.496902646177,3219.491506489419,3215.643212845416,3653.6453251533703,3734.9224190687382,3922.1807929292854,3995.7992243780895
Montferland,3099.839792114683,3145.596006872842,3330.549288806759,3207.2317609734882,3423.2435049586593,3229.761433962299,3308.366360499248,3405.050183206091,3779.8340836298817,3807.110536000001,3733.7045027808626
Montfoort,3125.627106442579,3374.1221029810376,3147.646206621003,3150.31173005464,3245.352305517242,3214.3185809641427,3319.8397166666614,3443.795919354839,3755.1854727272726,3536.669228070176,3508.9224128256487
Mook en Middelaar,3238.1587251461983,3472.6326217391234,3376.535895412837,3212.886176291796,3443.3135070422627,3555.611708083816,3647.677182724246,3854.5654861111107,3786.5237818181827,3963.7998510638295,3801.2460833333334
Neder-Betuwe,3435.9792973503445,3552.5473883161512,3513.383721544702,3427.540301832201,3489.779313479632,3349.118191268192,3543.549776957164,3755.8849495145637,4196.223860962568,4157.860591269837,4448.176538321164
Nederweert,3537.8777329749096,3509.986002055481,3652.750985734637,3342.7073033707634,3649.259980452075,3692.801526515107,3802.0939175738595,4016.9190147058735,4260.296700564965,4563.5765294117655,4250.96475974025
Nieuwegein,2559.9390786026092,2944.3635257731726,2795.41288863163,2472.462249363562,2959.9175972234807,2555.7256984442242,2725.3702824207485,2895.4541527777787,3183.679756410256,2973.152793510328,3132.456329729728
Nieuwkoop,3272.680100227786,3487.1575546875033,3378.4483547459135,3171.9195626976025,3290.243262864546,3253.6327759376613,3178.94815088448,3604.47194488189,3706.270499999999,3745.317892857144,3796.4162732342056
Nijkerk,3303.601906303244,3388.942524654827,3354.221283648052,3176.6730367133023,3355.171840646673,3257.5344866864084,3096.299387125224,3411.1048639999963,3524.349727467809,3478.4437873303214,3594.9137441860503
Nijmegen,2702.462468868616,2794.3525747945478,2706.484220268637,2446.6327208030784,2613.93540546105,2599.6772286147116,2443.9718894923903,2617.252298685318,2921.4669047277116,2758.9504185570654,2722.551029081147
Nissewaard,2870.0072072864455,2782.3037744463963,3000.720488164495,2741.018921536908,2857.9874525208706,2533.9284875655167,2548.6781772673553,3136.152193370166,3346.578313380275,3519.0551232876687,3691.4948992673926
Noardeast-Fryslan,3196.4163136246757,3591.4294277620475,3678.878386714742,3153.1870706496134,3245.088102643382,3040.3541639024534,3124.33057600595,3392.6990746561814,3676.0411969465595,3568.466849792521,3833.8499932676486
Noord-Beveland,2914.6396926070042,2831.5206039822906,3391.711094674554,3236.8901553398014,3208.4948215384798,2961.8892077922,2874.7212872340397,3002.9355825242724,3095.2183641025595,2971.6884063400494,3045.0203456057084
Noordenveld,3456.63886541244,3508.3625518824438,3335.8200087240793,3197.0698313253033,3316.8936609311654,3083.933824561416,3437.0104306393205,3593.6241214285733,3950.8510268817276,4074.4712457142778,4048.7839889624547
